dia_semana;dia;mes;periodo;hora;genero;comuna;modalidad;label_modalidad;arma_medio;label_arma;movil_agresor;label_agresor;movil_victima;label_victima;edad;conducta;lat;lon
martes;3;5;2017;0;masculino;entre rios;factor de oportunidad;13;contundente;4;a pie;1;a pie;1;28;hurto a personas;2.935378;-75.294883
martes;3;5;2017;9;masculino;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;66;hurto a personas;2.92796;-75.286621
martes;3;5;2017;9;masculino;oriental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;79;hurto a personas;2.940498;-75.26865
martes;3;5;2017;15;femenino;entre rios;halado;15;sin empleo de arma;15;a pie;1;a pie;1;38;hurto a automotores;2.935378;-75.294883
miercoles;4;5;2017;15;femenino;central;factor de oportunidad;13;sin empleo de arma;15;motocicleta;7;motocicleta;7;32;hurto a personas;2.92796;-75.286621
miercoles;4;5;2017;13;femenino;sur;raponazo;25;sin empleo de arma;15;motocicleta;7;motocicleta;7;35;hurto a personas;2.908991;-75.274467
miercoles;4;5;2017;23;sin dato;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.908991;-75.274467
miercoles;4;5;2017;21;masculino;oriental;atraco;4;arma de fuego;2;motocicleta;7;motocicleta;7;35;hurto de motos;2.940498;-75.26865
miercoles;4;5;2017;7;masculino;nororiental;engano;11;sin empleo de arma;15;a pie;1;a pie;1;57;hurto a automotores;2.96045;-75.284146
jueves;5;6;2017;13;femenino;entre rios;engano;11;sin empleo de arma;15;motocicleta;7;a pie;1;19;hurto a personas;2.935378;-75.294883
jueves;5;6;2017;18;masculino;entre rios;atraco;4;contundente;4;a pie;1;a pie;1;25;hurto a personas;2.935378;-75.294883
jueves;5;6;2017;11;femenino;central;factor de oportunidad;13;contundente;4;a pie;1;a pie;1;29;hurto a personas;2.92796;-75.286621
jueves;5;6;2017;17;femenino;nororiental;atraco;4;arma blanca;1;a pie;1;a pie;1;31;hurto a personas;2.96045;-75.284146
jueves;5;6;2017;10;masculino;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;36;hurto a personas;2.92796;-75.286621
jueves;5;6;2017;17;masculino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;vehiculo;15;38;hurto a personas;2.908991;-75.274467
jueves;5;6;2017;14;femenino;central;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;40;hurto a personas;2.92796;-75.286621
jueves;5;6;2017;23;femenino;suroriental;raponazo;25;sin empleo de arma;15;a pie;1;a pie;1;57;hurto a personas;2.9231;-75.266481
